filename,artist,title,songLength,upload_status,upload_time,box_file_id,lrc_box_file_id
Bush - Greedy Fly (Remastered).m4a,Bush,Greedy Fly (Remastered),269.53,uploaded,2024-11-12 10:24:43,1698337919415,1698338049048
Bush - Little Things (Remastered).m4a,Bush,Little Things (Remastered),264.23,uploaded,2024-11-12 10:25:02,1698302840521,1698316450940
Bush - Machinehead (Remastered).m4a,Bush,Machinehead (Remastered),256.33,uploaded,2024-11-12 10:25:21,1698325040999,1698325358136
Bush - Machinehead.m4a,Bush,Machinehead,256.72,uploaded,2024-11-12 10:25:31,1698299377407,1698329833536
Bush - Mouth (Remastered).m4a,Bush,Mouth (Remastered),344.69,uploaded,2024-11-12 10:25:53,1698340846943,1698294652264
Bush - Swallowed (Remastered).m4a,Bush,Swallowed (Remastered),291.05,uploaded,2024-11-12 10:26:13,1698300986266,1698317548564
Bush - The Chemicals Between Us (Remastered).m4a,Bush,The Chemicals Between Us (Remastered),217.49,uploaded,2024-11-12 10:26:30,1698312099846,1698342745949
Butthole Surfers - Pepper.m4a,Butthole Surfers,Pepper,297.27,uploaded,2024-11-12 10:26:41,1698330392925,1698294265279
CAKE - Never There.m4a,CAKE,Never There,164.27,uploaded,2024-11-12 10:26:51,1698342771755,1698327939999
CAKE - The Distance.m4a,CAKE,The Distance,180.63,uploaded,2024-11-12 10:27:02,1698342554028,1698304350163
Candlebox - Change.m4a,Candlebox,Change,384.32,uploaded,2024-11-12 10:27:14,1698338224526,1698339141015
Candlebox - Cover Me.m4a,Candlebox,Cover Me,285.55,uploaded,2024-11-12 10:27:24,1698339028377,1698340955585
Candlebox - Far Behind.m4a,Candlebox,Far Behind,299.73,uploaded,2024-11-12 10:27:34,1698325143720,1698343917565
Candlebox - Simple Lessons.m4a,Candlebox,Simple Lessons,173.24,uploaded,2024-11-12 10:27:43,1698343531002,1698340178243
Candlebox - You.m4a,Candlebox,You,297.17,uploaded,2024-11-12 10:27:54,1698317442435,1698326094081
Catherine Wheel - Waydown.m4a,Catherine Wheel,Waydown,194.03,uploaded,2024-11-12 10:28:03,1698321793854,pending
